,order,r,g,b,h,s,v,names
0,10,255,240,241,356,6,100,red1
1,11,255,237,239,353,7,100,red2
2,12,255,196,204,352,23,100,red3
3,13,255,156,172,350,39,100,red4
4,14,255,115,143,348,55,100,red5
5,15,242,70,110,346,71,95,red6
6,16,204,49,90,344,76,80,red7
7,17,166,31,72,342,81,65,red8
8,18,128,18,54,340,86,50,red9
9,19,89,12,40,338,87,35,red10
10,50,246,240,255,264,6,100,purple2
11,51,230,217,255,261,15,100,purple3
12,52,201,176,255,259,31,100,purple4
13,53,169,135,255,257,47,100,purple5
14,54,135,94,255,255,63,100,purple6
15,55,101,69,217,253,68,85,purple7
16,56,72,48,179,251,73,70,purple8
17,57,47,31,140,249,78,55,purple9
18,58,31,21,102,247,79,40,purple10
19,9,0,39,102,217,100,40,blue10
20,8,0,58,140,215,100,55,blue9
21,7,0,80,179,213,100,70,blue8
22,6,9,109,217,211,96,85,blue7
23,4,64,169,255,207,75,100,blue5
24,5,0,144,255,206,100,100,blue6
25,3,105,192,255,205,59,100,blue4
26,2,145,213,255,203,43,100,blue3
27,1,186,231,255,201,27,100,blue2
28,0,230,247,255,199,10,100,blue1
29,49,30,71,0,95,100,28,green10
30,48,50,110,1,93,99,43,green9
31,47,76,148,9,91,94,58,green8
32,46,106,186,20,89,89,73,green7
33,45,140,224,36,87,84,88,green6
34,44,170,237,76,85,68,93,green5
35,43,200,250,120,83,52,98,green4
36,42,223,255,163,81,36,100,green3
37,41,239,255,204,79,20,100,green2
38,40,251,255,240,76,6,100,green1
39,30,255,254,240,56,6,100,yellow1
40,31,255,251,204,55,20,100,yellow2
41,32,255,244,163,53,36,100,yellow3
42,33,255,235,122,51,52,100,yellow4
43,34,255,223,82,49,68,100,yellow5
44,35,255,209,41,47,84,100,yellow6
45,36,217,169,24,45,89,85,yellow7
46,37,179,131,11,43,94,70,yellow8
47,38,140,96,1,41,99,55,yellow9
48,39,102,66,0,39,100,40,yellow10
49,21,255,235,204,36,20,100,orange2
50,20,255,249,240,36,6,100,orange1
51,22,255,215,163,34,36,100,orange3
52,23,255,193,122,32,52,100,orange4
53,24,255,168,82,30,68,100,orange5
54,25,255,141,41,28,84,100,orange6
55,26,217,107,24,26,89,85,orange7
56,27,179,78,11,24,94,70,orange8
57,28,140,52,1,22,99,55,orange9
58,29,102,34,0,20,100,40,orange10
59,59,255,255,255,0,0,100,grey1
60,60,250,250,250,0,0,98,grey2
61,61,245,245,245,0,0,96,grey3
62,62,232,232,232,0,0,91,grey4
63,63,217,217,217,0,0,85,grey5
64,64,191,191,191,0,0,75,grey6
65,65,140,140,140,0,0,55,grey7
66,66,89,89,89,0,0,35,grey8
67,67,38,38,38,0,0,15,grey9
68,68,0,0,0,0,0,0,grey10
